from_node,to_node
simulated54247524_229144,node54247524
span6620634,node523278220
span5489694,node25041158
span5639713,node505840368
span5535065,node504751801
span5535954,node504756235
span5592961,node505593954
span6546418,node520728174
span5601231,node503418555
internal_conductor152065,transformer6523
span5592951,node505593904
simulated25437017_222746,substation_site222746
span5589518,node505040470
span5945527,node510102710
span6140742,node513786167
span6782253,node503450398
span6729584,service_point2990976
span6140741,node513786162
span5603153,node505645907
span5595126,node505604929
span5637104,node505827061
span5589501,node505040385
span5535066,node504751806
span5589504,node505040400
span5592960,node505593949
span6546410,node520728134
span5590624,node505046129
span5533008,service_point2990974
span5937652,recloser_site52262
span5481650,node503417766
span5589495,node505040355
span5596332,node505007189
span5910094,substation_site289494
span5601228,node505636219
span5484408,node503444732
span6140743,node513786172
span5601227,node505636214
span6371036,node518200209
span5595128,node505604939
span5481020,node503414523
span5542915,node504796758
span6371038,node27245877
span5544373,node504804143
span5486022,node503474371
span6705518,node524270611
internal_conductor152054,node49186051
span5542914,node276086939
simulated27241240_212347,substation_site212347
span5595127,node505604934
span5821057,node507865756
span5538111,node504767131
span6782369,node525219378
span5592964,node505593969
span6546411,node520728139
span5592965,node505593974
span5910096,node509383223
span5488780,node503586996
span5595131,node505604954
span5488779,substation_site220783
internal_conductor152076,link_switch9161
span5538107,node504767111
simulated27276325_223564,substation_site223564
span5538114,node504767146
internal_conductor152063,node49186036
span5524512,substation_site213774
span5589510,node505040430
internal_conductor152077,node24961487
cable4459724,service_point3064777
span5596720,node505613395
cable4459636,service_point699700
span6771519,fuse59190
span5596719,load_break_switch_site9914
span5595133,node505604964
span6546417,node520728169
span6952775,service_point2990979
span5821043,node507865686
span5637106,node505827071
span5636797,node505825529
span5595124,node505604919
span5821050,node507865721
cable4459790,service_point3064779
span5538115,node504767151
span6140744,node503444721
internal_conductor152072,node49186171
span5592943,node505593864
span5544372,node504804142
span5475756,node503386178
span5481018,node503414513
span5821055,node507865746
span6371028,node518200169
span5592932,node505593809
span6782254,disconnecting_link178030
span5592962,node505593959
span5637119,node505827136
span5592946,node505593879
span5821042,node507865681
span6705516,disconnecting_link166998
span5535061,node504751781
span5639714,substation_site224975
span5589507,node505040415
span5592952,node505593909
span5524510,node504164529
span5637101,node505827046
span6546419,node520728179
span5592958,node505593939
span5589516,node505040460
internal_conductor152059,node49186145
span5592949,node505593894
span5602323,node505641714
span5636798,substation_site215159
span5592935,node505593824
span5592955,node505593924
span5821058,node507865761
span6546414,node520728154
span5821037,node507865656
span5538947,node504771530
span5481815,node503414492
span5589506,node505040410
span5523596,substation_site217987
span5637113,node505827106
span5592938,node505593839
span6546409,substation_site217979
span6140739,node513786152
span5481810,node503418566
span5535953,node504756230
span5535955,node504756240
span5592930,node505593799
internal_conductor152068,fuse_switch13112
span5603727,node505648946
internal_conductor153850,node276125679
span5637110,node505827091
span5538944,node504771519
span6140737,node513786142
cable4459634,service_point3064775
span5538110,node504767126
span5821035,node507865646
span6782334,node525219203
span5538946,node504771525
span5821036,node507865651
span5637108,node505827081
span5649031,disconnecting_link103182
span5601225,node505636204
span5542916,node504796763
span5481015,node503414498
span5488781,node503587001
span5535952,node504756225
span5592950,node505593899
span5821045,node507865696
span5523597,node504159885
cable4459635,service_point700817
span6371027,node27276325
span6964405,service_point2990975
span5592929,node505593794
span5910095,node509383222
span5821048,node507865711
span5589514,node505040450
span5637105,node505827066
span5599291,substation_site233348
span5538112,node504767136
span5484673,node503450399
span5637112,node505827101
span6620637,load_break_switch_site9913
span5481017,node503414508
span6779651,node525205586
internal_conductor152061,node49186149
span5601230,node505636229
span6140740,node513786157
span5589498,node505040370
span5484406,node503444722
cable4459725,service_point3006796
cable4459726,service_point2991001
span6140738,node513786147
span5596330,node505611465
span5481813,node503418581
span5589509,node505040425
span6546416,node520728164
span5821052,node507865731
internal_conductor152073,node49186180
span6371034,node518200199
span5540168,substation_site229144
span5603154,substation_site221352
span5524932,node504166625
span5821053,node507865736
span5475757,node503386183
internal_conductor152070,node24961462
span6546422,load_break_switch_site7118
span5637111,node505827096
span5589497,node505040365
span6877056,service_point701923
span5535063,node504751791
span5603726,node49185828
span5525865,substation_site216569
span5821041,node507865676
span5481808,node503418556
span5592945,node505593874
span6546420,node520728184
span5592941,node505593854
span6964630,node503386172
span5595125,node505604924
simulated25168141_222746,node25168141
span5592933,node505593814
span5821054,node507865741
span6877009,service_point711897
simulated140870773_115381741,node115381741
span5637103,node505827056
span5598794,node505623811
span5589494,node505040350
span5589513,node505040445
span5637107,node505827076
span5910093,node509383213
span5945526,node505613400
span6877010,service_point708565
span5589503,node505040395
internal_conductor152069,cable_switch29583
span5538945,node504771520
span5637115,node505827116
internal_conductor152057,node49186157
span6779649,substation_site227742
simulated25026752_213774,node25026752
span5592963,node505593964
cable4459722,service_point704133
span6546413,node520728149
span5589500,node505040380
span5637118,node505827131
span5479207,air_break_switch87557
span5524511,node504164534
span5538116,node504767156
span5601229,node505636224
span5637109,node505827086
span5592959,node505593944
span5592947,node505593884
span5821056,node507865751
span6729585,service_point2990977
span5535956,substation_site217998
internal_conductor152060,cable_switch30164
span5538108,node504767116
span5598795,node505623816
span6705517,node524270606
span5601226,node505636209
span5637120,node505827141
span6140745,node503587006
internal_conductor153851,transformer45756
span5595130,node505604949
span5481019,node503414518
span5535064,node504751796
span5590623,node505046124
internal_conductor152062,cable_switch29923
span5603729,node505648956
span5592939,node505593844
span5592953,node505593914
